Tue Sep  8 04:55:28 PM UTC 2026
flash-cloud-bench-prometheus-1 0.09% 91.82MiB / 7.38GiB 3.41MB / 498kB
Tue Sep  8 05:00:54 PM UTC 2026
flash-cloud-bench-api-1 85.00% 102.4MiB / 7.38GiB 2.03GB / 1.32GB
flash-cloud-bench-redis-1 14.39% 64.15MiB / 7.38GiB 1.06GB / 1.96GB
flash-cloud-bench-consumer-1 7.68% 34.84MiB / 7.38GiB 20.3MB / 29.9MB
flash-cloud-bench-publisher-1 5.33% 34.91MiB / 7.38GiB 15.9MB / 23.2MB
flash-cloud-bench-simulator-1 2.99% 35.61MiB / 7.38GiB 17MB / 21.4MB
flash-cloud-bench-maintenance-1 4.74% 34.8MiB / 7.38GiB 285MB / 974MB
flash-cloud-bench-pgbouncer-1 5.64% 2.902MiB / 7.38GiB 498MB / 496MB
flash-cloud-bench-postgres-1 101.28% 174.8MiB / 7.38GiB 174MB / 334MB
